front,back
"Enable MIG + create 2x 3g.20gb (commands)","nvidia-smi -i 0 -mig 1 (reset needed) then nvidia-smi mig -cgi 3g.20gb,3g.20gb -C; verify nvidia-smi mig -lgi"
"nvidia-smi mig: list profiles / destroy everything","-lgip lists profiles; teardown: nvidia-smi mig -dci then -dgi (CIs before GIs)"
"MIG Manager: apply profile declaratively","kubectl label node <n> nvidia.com/mig.config=all-3g.20gb --overwrite; MIG Manager drives nvidia-mig-parted per its ConfigMap"
"mig.strategy single vs mixed","single: uniform profiles advertised as nvidia.com/gpu; mixed: per-profile resources like nvidia.com/mig-3g.20gb"
"Which GPUs support MIG?","A30, A100, H100/H200, B200/GB-class — NOT T4, A10, L4, L40S (no MIG hardware on those)"
"MIG vs time-slicing vs MPS (one line each)","MIG: hardware partitions, full isolation; time-slicing: alternating full-GPU contexts, no isolation; MPS: concurrent processes share SMs, memory limits but no fault isolation"
"DGX/HGX 8-GPU node anatomy","8 GPUs fully connected via NVLink through NVSwitch, 8 IB/RoCE rail NICs, NVMe scratch, dual CPUs; Fabric Manager supervises the NVSwitch fabric"
"SuperPOD scalable unit idea","Standardized building block (32 nodes + leaf switches + mgmt) replicated and joined by a spine to scale predictably"
"NGC: docker login credentials","Registry nvcr.io, username literally $oauthtoken, password = NGC API key"
"NGC: K8s pull secret for nvcr.io","kubectl create secret docker-registry ngc-secret --docker-server=nvcr.io --docker-username='$oauthtoken' --docker-password=$NGC_API_KEY + imagePullSecrets"
"NGC framework container value proposition","Pinned, co-tested CUDA+cuDNN+NCCL+framework per monthly tag (e.g. 25.06-py3); only external requirement is a new-enough host driver"
"NGC CLI: configure and list images","ngc config set (API key/org); ngc registry image list nvidia/*; ngc registry model download-version ..."
"NGC private registry path scheme","nvcr.io/<org>/[<team>/]<image> — org/team scoping with API-key-based access"
"sbatch: 2 nodes, 4 GPUs per node, 4 tasks per node","#SBATCH --nodes=2 --ntasks-per-node=4 --gres=gpu:4 (or --gpus-per-node=4); launch ranks with srun"
"--gres=gpu:2 vs --gpus=2","--gres is per node; --gpus is a job-wide total that may span nodes"
"How Slurm confines a job to its GPUs","Sets CUDA_VISIBLE_DEVICES per step and (with cgroup ConstrainDevices) blocks other GPU device files"
"enroot + pyxis","NVIDIA's rootless container runtime for HPC + the Slurm SPANK plugin: srun --container-image=nvcr.io#nvidia/pytorch:25.06-py3"
"K8s: request 1 GPU in a pod","resources.limits: nvidia.com/gpu: 1 (requests=limits for GPUs; no fractions via device plugin)"
"Kubeflow TrainJob v2 split","TrainJob (user intent: model, ranks) + TrainingRuntime (admin template: image, launcher, gang policy) — v2 of the training operator"
"Triton: model repository layout","<repo>/<model>/config.pbtxt + <repo>/<model>/<version>/model.<fmt>; server flag --model-repository"
"Triton: ports and health check","8000 HTTP, 8001 gRPC, 8002 metrics; readiness GET /v2/health/ready"
"NIM: minimal run command","docker run --gpus all -e NGC_API_KEY -p 8000:8000 nvcr.io/nim/<org>/<model>:tag — OpenAI-compatible /v1/chat/completions"
"NIM: how it picks an engine","Detects GPU and selects a pre-optimized profile (TensorRT-LLM or vLLM backend) for that hardware automatically"
"Time-slicing config mechanism","Device plugin ConfigMap: sharing.timeSlicing.resources[name=nvidia.com/gpu].replicas=N; node then advertises N x the physical GPUs"
"DRA vs device plugin","Device plugin = opaque count (nvidia.com/gpu: 2); DRA (GA K8s 1.34) = DeviceClass + ResourceClaim with CEL selectors on attributes (model, memory, MIG profile)"
"Whole GPU vs MIG vs time-slice vs MPS vs fractions: pick for hard multi-tenant isolation","MIG — only option with hardware memory/fault isolation between tenants"
"Interactive dev cluster, many idle notebooks on scarce GPUs: sharing choice","Time-slicing or Run:ai fractions — utilization over isolation; MIG wastes fixed slices, whole GPUs waste idle time"
"Docker: 'could not select device driver with capabilities [[gpu]]'","Docker has no GPU runtime: install nvidia-container-toolkit, nvidia-ctk runtime configure --runtime=docker, restart docker"
"nvidia-ctk: configure containerd for GPUs","sudo nvidia-ctk runtime configure --runtime=containerd && systemctl restart containerd (adds nvidia runtime to config.toml)"
"Pod schedules but sees no GPU devices inside","Runtime not applied: missing runtimeClassName: nvidia (when nvidia isn't default runtime) or toolkit misconfigured on that node"
"'Failed to initialize NVML: Driver/library version mismatch'","Userspace driver libs updated while old kernel module still loaded — reboot (or rmmod/modprobe nvidia stack)"
"'CUDA driver version is insufficient for CUDA runtime version'","Container/app CUDA is newer than host driver supports — upgrade driver or use older CUDA image"
"K8s: 'Insufficient nvidia.com/gpu' but GPU is idle — 3 causes","Device plugin down (capacity 0); GPU requested by another pod (K8s counts requests not util); resource-name mismatch (MIG mixed / time-slicing not applied)"
"Fabric Manager: what and where","nvidia-fabricmanager service programs NVLink/NVSwitch routing on HGX/DGX baseboards; required before CUDA init on NVSwitch systems"
"Fabric Manager failure signature","nvidia-smi looks fine but CUDA apps fail init ('system not yet initialized') on 8-GPU NVSwitch box; check systemctl status nvidia-fabricmanager"
"Fabric Manager golden rule","FM package version must exactly match the driver version; mismatch = FM won't start (see /var/log/fabricmanager.log)"
"When is Fabric Manager NOT needed?","No NVSwitch: single-GPU, PCIe-only multi-GPU, or direct NVLink without switch"
"Storage-bound training: classic symptom","GPU utilization sawtooths (0-100%) while dataloaders starve; step time dominated by input wait"
"fio: sequential read benchmark that bypasses cache","fio --name=seq --rw=read --bs=1M --size=10G --numjobs=4 --iodepth=32 --direct=1 (O_DIRECT avoids page-cache lies)"
"Fixes for slow training input pipeline","Stage dataset to local NVMe, more dataloader workers/prefetch, large sequential reads, sharded formats (WebDataset/TFRecord), parallel FS instead of NFS"
"GPUDirect Storage (GDS)","DMA path from NVMe/storage directly to GPU memory bypassing CPU bounce buffers — cuFile API; helps IO-bound pipelines"
"NCCL: debug visibility env vars","NCCL_DEBUG=INFO (or WARN), NCCL_DEBUG_SUBSYS=INIT,NET,GRAPH for targeted subsystems"
"NCCL transport ladder","Intra-node: NVLink/P2P -> SHM; inter-node: NET/IB (RDMA) -> NET/Socket (TCP). 'via ...' lines in NCCL_DEBUG show the choice"
"NCCL_SOCKET_IFNAME gotcha","Wrong/asymmetric interface (or docker0 match) makes bootstrap advertise unreachable IPs -> hang at init; set real iface or exclude: ^docker,lo"
"NCCL_P2P_DISABLE=1 effect","Intra-node GPU traffic falls back to SHM via host memory — bus bandwidth collapses; visible as 'via SHM' instead of 'via P2P'"
"nccl-tests canonical run","all_reduce_perf -b 8 -e 1G -f 2 -g <ngpus>; judge busbw against hardware expectation (NVLink hundreds of GB/s, PCIe ~tens)"
"dcgmi diag levels","-r 1 seconds (software sanity), -r 2 ~2-3min (+PCIe+brief stress), -r 3 30+min (full memory/stress, pre-RMA), -r 4 extended"
"dcgmi: inventory and health","dcgmi discovery -l (GPUs DCGM sees); dcgmi health --set a; dcgmi health --check; dcgmi dmon for live metrics"
"Xid 13 / 31 / 43","Application-side: graphics engine exception / GPU memory page fault (bad pointer) / app abort — fix the app, GPU usually healthy"
"Xid 48","Double-bit ECC error — hardware memory fault: drain node, dcgmi diag -r 3, RMA path if recurring"
"Xid 63 vs 64","Row remapping: 63 = row remapped, pending reset (reboot -> healthy); 64 = remap failed/no spare rows -> drain + RMA"
"Xid 74","NVLink error — check link state, NVSwitch/Fabric Manager, cabling/baseboard; hardware path"
"Xid 79","GPU fallen off the bus — PCIe/power/thermal event; check dmesg + BMC sensors, reseat/replace; hardware"
"Xid 94 / 95","Contained / uncontained ECC error: 94 = error contained to one app (others fine); 95 = uncontained, GPU needs reset/drain"
"Where do Xid errors appear?","Kernel log (dmesg: 'NVRM: Xid ...'), nvidia-smi, DCGM metric DCGM_FI_DEV_XID_ERRORS"
"GPU incident playbook","dmesg -> classify Xid app-vs-HW -> drain node (kubectl drain / scontrol drain) -> dcgmi diag -r 3 -> pass: resume, fail: RMA"
"Slow H2D transfers on one node — check what?","PCIe link downtraining: nvidia-smi -q link width/gen (x16/Gen4 expected) or lspci -vv; riser/slot/BIOS issues"
"Exam time budget","3 labs x 25 min = 75 min; ~30 MCQ in ~45 min (90 s each); never sink 5 min into one MCQ; verify every lab step before moving on"
