front,back
Power draw: DGX H100 node and AI racks,"DGX H100 ≈ 10.2 kW max per node; AI racks run ~40–120+ kW (GB200 NVL72 ≈ 120 kW) vs ~10–15 kW traditional racks — power and cooling become first-order design constraints."
When is liquid cooling required?,"When rack density exceeds air-cooling limits (~40 kW/rack practical); Blackwell NVL72 rack-scale systems are liquid-cooled by design. Benefits: much higher density, better energy efficiency (PUE)."
What is PUE?,Power Usage Effectiveness = total facility power ÷ IT equipment power. Closer to 1.0 is better (1.1 excellent; 2.0 means half the power goes to overhead like cooling).
Storage tiers in an AI cluster,"Local NVMe (per-node scratch/cache) → shared parallel/high-performance file system (Lustre, Spectrum Scale, VAST, WEKA — hot data, checkpoints) → object storage (datasets, archives)."
Why does storage throughput affect GPU utilization?,"If storage can't feed the data loaders, GPUs idle waiting for batches (data starvation); checkpoint write bursts can also stall training. Expensive accelerators should never wait on I/O."
Cloud vs on-prem for AI: decision drivers,"Cloud: OPEX, instant start, elasticity — wins for bursty/short projects. On-prem: CAPEX, better TCO at sustained high utilization, data sovereignty/gravity, custom fabrics. Hybrid: steady base on-prem + cloud burst."
What is DGX Cloud?,NVIDIA's AI-supercomputing-as-a-service: SuperPOD-class DGX infrastructure hosted in partner clouds and rented with NVIDIA software and expertise included.
What is data gravity?,Large datasets are costly/slow to move (plus egress fees) so compute gets placed where data lives — a primary force in on-prem vs cloud decisions.
How does a Kubernetes pod get a GPU?,NVIDIA device plugin advertises `nvidia.com/gpu` to the kubelet; the pod requests it in resources.limits; scheduler places it on a node with a free GPU; container toolkit injects driver libraries.
What does the NVIDIA GPU Operator do?,"Automates the GPU software stack on K8s nodes: containerized driver, container toolkit, device plugin, DCGM exporter, GPU feature discovery/labels, MIG manager — no manual per-node installs."
What is Slurm?,"The dominant HPC batch workload manager: job queues, partitions, priorities/fair-share, gang scheduling of multi-node jobs; GPUs scheduled via GRES (`--gres=gpu:4`); sbatch submits, srun launches."
Slurm vs Kubernetes: when each?,"Slurm: batch training clusters, queued multi-node HPC-style jobs, fair-share between research teams. Kubernetes: containerized services and inference, autoscaling, cloud-native ML platforms. Many orgs run both."
What is Base Command Manager?,"NVIDIA's cluster management software for provisioning/imaging nodes, managing drivers and software lifecycle, monitoring health, and deploying Slurm or Kubernetes on DGX PODs."
nvidia-smi vs DCGM,"nvidia-smi: per-node CLI for spot checks (utilization, memory, temp, power, processes, ECC counts). DCGM: datacenter-grade fleet monitoring — background health checks, active diagnostics (dcgmi diag), policies, job stats, Prometheus exporter."
Standard K8s GPU monitoring pipeline,DCGM exporter (via GPU Operator) exposes Prometheus metrics → Prometheus scrapes → Grafana dashboards + alerts; metrics labeled with pod/namespace for per-workload attribution.
Key GPU health metrics to watch,"Utilization, memory used, temperature, power draw, ECC errors (single/double-bit), XID events, NVLink errors, clock throttling reasons (thermal/power)."
Single-bit vs double-bit ECC errors,"Single-bit: detected and corrected, job continues — watch the rate. Double-bit: uncorrectable — app typically crashes, pages retired; recurring errors → drain node / RMA GPU."
What is an XID error?,A GPU error event code logged by the NVIDIA driver (e.g. Xid 48 = double-bit ECC; Xid 79 = GPU fell off the bus) — first thing to check when a GPU job dies unexpectedly.
What is MIG?,"Multi-Instance GPU (Ampere+): hardware-partitions one GPU into up to 7 instances with dedicated SM/memory/cache slices — full memory/fault isolation and QoS; each instance appears as a GPU (e.g. `nvidia.com/mig-1g.10gb` in K8s)."
MIG vs time-slicing,"MIG: hardware isolation, guaranteed memory/QoS — right for multi-tenant and latency-sensitive inference. Time-slicing: software context-switching, no memory isolation or QoS — fine for dev/bursty sharing and oversubscription."
When is vGPU the answer?,"When GPUs must be shared across virtual machines: VDI and VMware/enterprise-virtualization environments. Licensed NVIDIA driver/manager stack; can use MIG-backed or time-sliced profiles inside VMs."
Why run DCGM diagnostics in a job prologue?,A short active health check before each job keeps failing GPUs (memory/NVLink/thermal issues) out of large multi-node jobs — much cheaper than a big training run crashing mid-flight.
What is Run:ai?,"GPU orchestration/scheduling platform on Kubernetes (acquired by NVIDIA): fractional GPUs, quotas and fair-share pooling between teams, workload-aware batch scheduling for AI clusters."
