front,back
"[Fine-tuning] QLoRA's three techniques","NF4 4-bit quantization of the frozen base weights, double quantization of the scale constants, and paged optimizers that spill state to CPU on spikes - enabling 7-8B fine-tunes on 24 GB."
"[Fine-tuning] In QLoRA, what stays high precision?","LoRA adapters, gradients, and optimizer state (BF16/FP32); base weights are dequantized on the fly for compute. Gradients flow through the frozen 4-bit weights into the adapters only."
"[Fine-tuning] Merging a LoRA adapter: math and consequence","W' = W + (alpha/r) * BA folded into the base weights - inference is then identical in cost to the base model; you lose hot-swappability of the adapter."
"[Fine-tuning] SFT loss masking","Compute loss only on assistant-response tokens, ignoring prompt/user tokens - so the model learns to answer, not to echo prompts."
"[Fine-tuning] LIMA lesson for SFT data","Quality beats quantity: ~1k excellent, diverse demonstrations can align a strong base model; noisy bulk data mostly teaches noise."
"[Fine-tuning] RLHF three stages and each artifact","1) SFT -> instruction-following policy. 2) Reward model trained on human preference pairs. 3) PPO optimizing the policy against the RM with a KL penalty to the SFT reference."
"[Fine-tuning] Why the KL penalty in RLHF PPO?","Anchors the policy near the SFT model to prevent reward hacking - drifting into degenerate outputs that exploit reward-model blind spots (verbosity, sycophancy)."
"[Fine-tuning] DPO vs PPO-RLHF","DPO removes the explicit reward model and RL loop: a classification-style loss on preference pairs with the policy/reference log-ratio as implicit reward (beta controls drift). Simpler, cheaper, stabler; offline."
"[Fine-tuning] KTO and ORPO one-liners","KTO: preference optimization from unpaired thumbs-up/down signals. ORPO: folds preference optimization into SFT without a separate reference model."
"[Fine-tuning] Catastrophic forgetting: causes and mitigations in FT","Too-high LR, too many epochs, too-narrow data. Mitigate: lower LR/early stop, mix general 'replay' data, prefer PEFT (frozen base limits damage), monitor a general benchmark during training."
"[Fine-tuning] Prompt tuning / p-tuning vs LoRA","Learn soft virtual-token embeddings prepended to input (model fully frozen) - tiny footprint, historically NeMo's PEFT; LoRA usually wins on quality and merges to zero overhead, so it dominates."
"[Fine-tuning] NVIDIA tooling for fine-tuning and alignment","NeMo framework (Megatron-parallel training recipes, PEFT) and NeMo-Aligner (SFT, reward modeling, PPO RLHF, DPO at multi-GPU scale)."
"[Fine-tuning] When is full FT justified over LoRA?","Deep capability change with lots of data (new language/domain, continued pretraining), squeezing final quality with hardware to spare, or when you'd merge anyway and want no adapter machinery."
"[Data] Pretraining curation pipeline in order","Extraction (HTML->text) -> language ID -> heuristic filters (length, symbol ratio, boilerplate) -> model-based quality filtering -> dedup (exact, fuzzy, semantic) -> PII redaction + toxicity filtering -> tokenize and pack."
"[Data] Exact vs fuzzy vs semantic dedup","Exact: hash-identical documents. Fuzzy: near-duplicates via MinHash + LSH approximating Jaccard similarity at scale. Semantic: same meaning, different words - embedding clustering."
"[Data] Why deduplicate training data at all?","Reduces memorization/regurgitation (privacy, copyright), prevents distribution skew, avoids benchmark contamination, and saves compute per unit of learning."
"[Data] MinHash-LSH in one sentence","Compact per-document signatures whose collision probability approximates Jaccard similarity, bucketed by LSH so near-duplicates are found without comparing all pairs."
"[Data] What is NeMo Curator?","NVIDIA's GPU-accelerated (RAPIDS/Dask) data-curation framework: extraction, language ID, heuristic and classifier filters, exact/fuzzy/semantic dedup, PII redaction, synthetic-data generation pipelines."
"[Data] Heuristic vs model-based quality filtering","Heuristics: cheap rules (doc length, symbol/word ratios, repetition, boilerplate). Model-based: a trained classifier scores 'quality' (e.g. resembling curated text) - better precision, needs labeled seed data and compute."
"[Data] When should you train a custom tokenizer, and what does it break?","When the domain's text tokenizes badly (new languages, code, bio sequences, heavy jargon). It breaks alignment with pretrained embeddings/LM head - requires embedding extension/reinit and (continued) pretraining."
"[Data] Instruction-dataset formats you should recognize","Prompt/completion pairs; multi-turn chat JSONL with role/content messages; preference pairs (chosen/rejected) for RLHF-DPO. Consistency with the inference chat template is critical."
"[Data] Synthetic data for LLM training: main use and main risk","Use: cheap scaling of instruction/preference data from a strong teacher (plus filtering). Risks: teacher bias inheritance and licensing terms restricting training on generated outputs; unfiltered self-training degrades quality."
"[Deployment] vLLM in one line","Open-source high-throughput inference engine built on paged attention and continuous batching, with day-one model support, OpenAI-compatible server, quantized-checkpoint loading, TP support."
"[Deployment] TensorRT-LLM in one line and its trade-off","NVIDIA's compiled inference stack: fused kernels and FP8/INT4/NVFP4 engines built ahead-of-time per GPU arch, with in-flight batching - peak NVIDIA performance for less flexibility and a build step."
"[Deployment] Triton Inference Server's role","Framework-agnostic serving layer: model repository and versioning, multiple backends (TRT-LLM, PyTorch, ONNX), ensembles/pipelines, dynamic + in-flight batching, standardized metrics."
"[Deployment] What is NVIDIA NIM?","Prebuilt, enterprise-supported inference microservice containers exposing an OpenAI-compatible API, auto-selecting an optimized engine profile (TRT-LLM or vLLM path, precision, TP) for the detected GPU; deployed on K8s via the NIM Operator."
"[Deployment] Disaggregated prefill/decode serving (Dynamo)","Run compute-bound prefill and bandwidth-bound decode on separate GPU pools, transferring KV between them; each pool sized/tuned per phase. NVIDIA Dynamo orchestrates this with KV-aware routing."
"[Deployment] Serving 40 tenant fine-tunes of one base model cheaply","Multi-LoRA serving: one resident base model plus hot-swapped per-tenant adapters (MB each) - supported by vLLM and TRT-LLM/NIM; merged copies would multiply weight memory 40x."
"[Deployment] When must you shard a model across GPUs for inference?","When weights + KV cache exceed one GPU's memory (or to hit latency targets): use tensor parallelism intra-node; pipeline parallelism only when spanning nodes is unavoidable."
"[Deployment] K8s GPU-sharing options for inference (MIG / time-slicing / MPS)","MIG: hardware partitions with memory/SM isolation - multi-tenant SLO-safe. Time-slicing: software context switching, no isolation - dev/bursty only. MPS: concurrent kernels share SMs, no memory isolation - many small same-trust jobs."
"[Deployment] Model artifact flow to production on the NVIDIA stack","Checkpoint -> optimize/quantize (TensorRT Model Optimizer) -> engine or runtime (TRT-LLM / vLLM) -> served via Triton or packaged as NIM -> orchestrated on K8s (NIM Operator, autoscaling, DRA for GPU claims)."
"[Monitoring] TTFT and what drives it","Time to first token: queueing + prefill (prompt length, prefill compute, scheduler). The 'feels responsive' metric for streaming UIs."
"[Monitoring] ITL/TPOT and what drives it","Inter-token latency (time per output token after the first): decode speed - memory bandwidth, batch contention, KV pressure. Total latency = TTFT + ITL x output tokens."
"[Monitoring] Why report P95/P99 instead of mean latency?","Latency is heavy-tailed; the tail is what users repeatedly hit and what SLOs bind. Means hide interference pathologies (e.g. long-prompt prefill stalls) that P99 exposes."
"[Monitoring] Goodput","Throughput that meets the SLO (e.g. req/s with TTFT<500ms and ITL<50ms). Oversized batches can raise raw tokens/s while goodput falls because everyone violates latency."
"[Monitoring] Why can GPU utilization be 95% while performance is poor?","'Utilization' only means a kernel was resident; memory-bound kernels keep the GPU 'busy' while SMs stall on HBM. Check SM/tensor activity, achieved batch, KV utilization, throttling instead."
"[Monitoring] DCGM and dcgm-exporter","NVIDIA's data-center GPU telemetry/health stack; the exporter feeds Prometheus/Grafana with memory use, SM activity, power, temperature, throttle reasons, XID errors, NVLink counters."
"[Monitoring] XID errors","GPU fault codes in kernel logs / DCGM (e.g. ECC errors, falling off the bus) - trigger node health actions: cordon/drain, RMA. A fleet-reliability signal, not an app bug."
"[Monitoring] Canary vs shadow deployment for a model swap","Canary: small live-traffic slice to the new model, gated promotion, auto-rollback. Shadow: mirror traffic, discard responses, compare offline - zero user risk, no user feedback. Regulated/high-risk swaps: shadow first."
"[Monitoring] Detecting drift without labels","Input side: prompt/embedding distribution shift vs a reference window. Output side: proxy metrics (refusal rate, length, format failures, guardrail triggers, user retries) plus scheduled golden-set evals through the live stack."
"[Monitoring] Readiness probe design for an LLM server","Readiness must verify model loaded + tiny inference succeeds (not just port-open); long startup probe window for model load; fail readiness on queue/KV saturation so the LB sheds load."
"[Evaluation] Perplexity: definition and two limits","exp(mean negative log-likelihood per token). Limits: tokenizer-dependent (not comparable across vocabularies) and measures LM fit, not instruction quality, reasoning, or safety."
"[Evaluation] MMLU / GSM8K / HumanEval / MT-Bench / TruthfulQA - what does each measure?","MMLU: broad multi-subject knowledge (MCQ). GSM8K: multi-step math word problems. HumanEval: Python codegen scored pass@k via unit tests. MT-Bench: multi-turn quality via LLM judge. TruthfulQA: resistance to common falsehoods."
"[Evaluation] pass@k","Probability that at least one of k sampled code solutions passes all unit tests - pass@1 is single-shot correctness."
"[Evaluation] Benchmark contamination","Eval data leaked into training corpora inflates scores. Counter: dedup training data against benchmark sets, private/rotating evals, overlap scans."
"[Evaluation] Three LLM-as-judge biases + mitigations","Position bias -> score both answer orders and average. Verbosity bias -> explicit rubric, length control. Self-preference -> different/stronger judge or judge panel. Always spot-validate judge vs human agreement."
"[Evaluation] Why ROUGE/BLEU are weak for assistant evaluation","N-gram overlap with a reference: great answers can share few n-grams, bad answers can share many. Acceptable for constrained summarization/MT regression, not for open-ended quality verdicts."
"[Evaluation] RAG evaluation triad","Faithfulness/groundedness (answer supported by retrieved context), answer relevance (addresses the question), context relevance/recall (retriever found the right evidence)."
"[Evaluation] Standard eval tooling to name","lm-evaluation-harness (academic benchmark battery), MT-Bench/Arena-style judged comparisons, NVIDIA NeMo Evaluator for managed benchmark + custom evals."
"[Architecture] Scaled dot-product attention formula and the reason for the scale","softmax(Q K^T / sqrt(d_k)) V; dividing by sqrt(d_k) keeps logit variance ~1 so softmax doesn't saturate and gradients flow."
"[Architecture] MHA vs MQA vs GQA and the deployment consequence","MHA: per-head K/V. MQA: one shared K/V head. GQA: K/V shared per query-head group. KV-cache size scales with KV-head count, so MQA/GQA cut cache memory several-fold - enabling bigger batches/contexts."
"[Architecture] KV cache size formula","2 (K,V) x layers x kv_heads x head_dim x seq_len x batch x bytes_per_elem. Grows linearly with context and batch; dominates VRAM at high concurrency."
"[Architecture] RoPE and why it extends","Rotary Position Embedding rotates Q/K by position-dependent angles so scores depend on relative position; rescaling rotation frequencies (position interpolation, NTK-aware, YaRN) stretches context beyond training length."
"[Architecture] Modern decoder-block deltas vs the 2017 Transformer","Decoder-only, pre-norm with RMSNorm, SwiGLU MLP, RoPE instead of sinusoidal-absolute, GQA attention, no cross-attention/encoder."
"[Architecture] BPE in one line and the vocab-size trade-off","Iteratively merge the most frequent symbol pairs into tokens; byte-level BPE guarantees no OOV. Bigger vocab: shorter sequences but larger embedding/softmax and rarer-token undertraining; smaller vocab: the reverse."
"[Safety] Direct vs indirect prompt injection","Direct: the user attacks in their own message ('ignore previous instructions'). Indirect: instructions hidden in content the system ingests (retrieved docs, emails, web pages) - the primary RAG threat, bypassing user-input filters."
"[Safety] NeMo Guardrails: what it is and its rail types","Programmable runtime framework (Colang) around any LLM: input rails, dialog rails, retrieval rails, execution rails (tools), output rails - hooking moderation/jailbreak/groundedness checks like Llama Guard-class classifiers."
"[Safety] Alignment vs guardrails","Alignment (RLHF/DPO, safety SFT) shapes the model's weights; guardrails enforce policy at runtime around the model. Defense in depth: aligned models still jailbreak, so production needs both."
"[Safety] PII across the LLM lifecycle","Curation-time redaction (NeMo Curator) - the only reliable point, since unlearning trained PII is impractical; inference-time detection/masking on inputs and outputs; logging policy (retention, access, no raw prompt hoarding)."
"[Safety] Open-weights vs open-source, with a licensing example each","Open-weights = downloadable weights under a custom license (Llama community license: AUP, attribution, large-scale-user thresholds) without open data/code. Apache-2.0 models (many Qwen/Mistral) are permissive - but check per-model, and license covers the weights, not training-data provenance or your regulatory duties."
